state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,law_id
Alaska,AK,02,2016,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2017,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2018,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2019,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2020,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2021,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2022,1,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2023,0.999,Minimum age,Minimum age purchase - federal,long gun,#N/A,AK1054
Alaska,AK,02,2015,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2016,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2017,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2018,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2019,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2020,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2021,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2022,1,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2023,0.999,Minimum age,Minimum age purchase - federal,handgun,18,AK1055
Alaska,AK,02,2015,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2016,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2017,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2018,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2019,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2020,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2021,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2022,1,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2023,0.999,Minimum age,Minimum age possession - federal,handgun,18,AK1056
Alaska,AK,02,2015,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2016,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2017,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2018,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2019,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2020,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2021,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2022,1,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2023,0.999,Prohibited possessor,Mental health : committed to mh facility,handgun and long gun,#N/A,AK1057
Alaska,AK,02,2015,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2016,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2017,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2018,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2019,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2020,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2021,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2022,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alaska,AK,02,2023,0,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AK1003
Alabama,AL,01,2015,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2016,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2017,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2018,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2019,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2020,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2021,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2022,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2023,0,Castle doctrine,N/A,handgun and long gun,#N/A,AL1004
Alabama,AL,01,2015,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2016,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2017,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2018,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2019,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2020,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2021,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2022,1,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2023,0.999,Castle doctrine,Stand your ground,handgun and long gun,#N/A,AL1005
Alabama,AL,01,2015,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2016,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2017,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2018,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2019,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2020,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2021,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2022,1,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2023,0.999,Dealer license,N/A,handgun,#N/A,AL1007
Alabama,AL,01,2015,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2016,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2017,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2018,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2019,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2020,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2021,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2022,1,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2023,0.999,Minimum age,Purchase and sale,handgun,18,AL1011
Alabama,AL,01,2015,0.25,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2016,1,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2017,1,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2018,1,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2019,1,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2020,1,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2021,1,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2022,1,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2023,0.999,Minimum age,Youth possession,handgun,18,AL1012
Alabama,AL,01,2015,0.668,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2016,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2017,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2018,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2019,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2020,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2021,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2022,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2023,0,Registration,N/A,handgun,#N/A,AL1015
Alabama,AL,01,2015,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2016,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2017,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2018,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2019,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2020,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2021,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2022,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2023,0,Waiting period,N/A,handgun,#N/A,AL1018
Alabama,AL,01,2015,0.576,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
Alabama,AL,01,2016,1,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
Alabama,AL,01,2017,1,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
Alabama,AL,01,2018,1,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
Alabama,AL,01,2019,1,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
Alabama,AL,01,2020,1,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
Alabama,AL,01,2021,1,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
Alabama,AL,01,2022,1,Prohibited possessor,Dvro,handgun and long gun,#N/A,AL1023
